chr	start	end	ENSG	transcript	regionType
chr1	214551183	214551602	ENSG00000152104	ENST00000366956.10	5primeUTR
chr1	214464804	214464957	ENSG00000152104	ENST00000366956.10	5primeUTR
chr1	214348700	214357921	ENSG00000152104	ENST00000366956.10	3primeUTR
chr1	231241212	231241378	ENSG00000116906	ENST00000366647.9	5primeUTR
chr1	231277543	231277973	ENSG00000116906	ENST00000366647.9	3primeUTR
chr1	243256041	243256173	ENSG00000054282	ENST00000366541.8	5primeUTR
chr1	243499786	243500091	ENSG00000054282	ENST00000366541.8	3primeUTR
chr1	23800712	23800754	ENSG00000117308	ENST00000617979.5	5primeUTR
chr1	23799366	23799436	ENSG00000117308	ENST00000617979.5	5primeUTR
chr1	23799008	23799012	ENSG00000117308	ENST00000617979.5	5primeUTR
chr1	23795599	23795948	ENSG00000117308	ENST00000617979.5	3primeUTR
chr1	45340170	45340252	ENSG00000132773	ENST00000372090.6	5primeUTR
chr1	45343703	45343973	ENSG00000132773	ENST00000372090.6	3primeUTR
chr1	45500300	45500332	ENSG00000132763	ENST00000401061.9	5primeUTR
chr1	45509216	45513382	ENSG00000132763	ENST00000401061.9	3primeUTR
chr1	20661351	20661369	ENSG00000244038	ENST00000602624.7	5primeUTR
chr1	20651777	20652378	ENSG00000244038	ENST00000602624.7	3primeUTR
chr1	155140491	155140531	ENSG00000179085	ENST00000368400.5	5primeUTR
chr1	155139891	155139961	ENSG00000179085	ENST00000368400.5	3primeUTR
chr1	155140241	155140245	ENSG00000179085	ENST00000368400.5	5primeUTR
chr1	11934717	11934779	ENSG00000083444	ENST00000196061.5	5primeUTR
chr1	11974809	11975537	ENSG00000083444	ENST00000196061.5	3primeUTR
chr1	40258236	40258271	ENSG00000084073	ENST00000372759.4	5primeUTR
chr1	40292670	40294180	ENSG00000084073	ENST00000372759.4	3primeUTR
chr1	119711934	119712022	ENSG00000092621	ENST00000641023.2	5primeUTR
chr1	119744041	119744215	ENSG00000092621	ENST00000641023.2	3primeUTR
chr1	235367427	235367504	ENSG00000284770	ENST00000642610.2	5primeUTR
chr1	235380019	235380049	ENSG00000284770	ENST00000642610.2	5primeUTR
chr1	235448763	235452443	ENSG00000284770	ENST00000642610.2	3primeUTR
chr1	3856889	3857211	ENSG00000116198	ENST00000378230.8	5primeUTR
chr1	3852408	3852421	ENSG00000116198	ENST00000378230.8	5primeUTR
chr1	3812086	3815401	ENSG00000116198	ENST00000378230.8	3primeUTR
chr1	235504253	235504452	ENSG00000162885	ENST00000366600.8	5primeUTR
chr1	235447190	235450205	ENSG00000162885	ENST00000366600.8	3primeUTR
chr1	108876985	108877228	ENSG00000121957	ENST00000264126.9	5primeUTR
chr1	108885275	108885522	ENSG00000121957	ENST00000264126.9	5primeUTR
chr1	108929941	108934545	ENSG00000121957	ENST00000264126.9	3primeUTR
chr1	40097239	40097252	ENSG00000131238	ENST00000642050.2	5primeUTR
chr1	40072712	40074060	ENSG00000131238	ENST00000642050.2	3primeUTR
chr1	44031306	44031462	ENSG00000196517	ENST00000372310.8	5primeUTR
chr1	44024278	44024362	ENSG00000196517	ENST00000372310.8	5primeUTR
chr1	43996483	43997544	ENSG00000196517	ENST00000372310.8	3primeUTR
chr1	52404246	52404423	ENSG00000085840	ENST00000371568.8	5primeUTR
chr1	52402224	52402228	ENSG00000085840	ENST00000371568.8	5primeUTR
chr1	52372829	52373180	ENSG00000085840	ENST00000371568.8	3primeUTR
chr1	42766972	42767028	ENSG00000117385	ENST00000296388.10	5primeUTR
chr1	42746374	42746696	ENSG00000117385	ENST00000296388.10	3primeUTR
chr1	29230907	29230934	ENSG00000116353	ENST00000263702.11	5primeUTR
chr1	29192657	29194021	ENSG00000116353	ENST00000263702.11	3primeUTR
chr1	161089297	161089558	ENSG00000143217	ENST00000368012.4	5primeUTR
chr1	161070998	161072660	ENSG00000143217	ENST00000368012.4	3primeUTR
chr1	226940294	226940399	ENSG00000163050	ENST00000366777.4	5primeUTR
chr1	226961377	226961385	ENSG00000163050	ENST00000366777.4	5primeUTR
chr1	226986738	226987544	ENSG00000163050	ENST00000366777.4	3primeUTR
chr1	165768752	165768868	ENSG00000143183	ENST00000367881.11	5primeUTR
chr1	165726795	165728022	ENSG00000143183	ENST00000367881.11	3primeUTR
chr1	150808214	150808260	ENSG00000143387	ENST00000271651.8	5primeUTR
chr1	150806806	150806806	ENSG00000143387	ENST00000271651.8	5primeUTR
chr1	150796208	150796798	ENSG00000143387	ENST00000271651.8	3primeUTR
chr1	197268252	197268412	ENSG00000134376	ENST00000367400.8	5primeUTR
chr1	197477880	197478455	ENSG00000134376	ENST00000367400.8	3primeUTR
chr1	109619837	109620278	ENSG00000116337	ENST00000528667.7	5primeUTR
chr1	109620914	109621175	ENSG00000116337	ENST00000528667.7	5primeUTR
chr1	109631153	109632051	ENSG00000116337	ENST00000528667.7	3primeUTR
chr1	197146438	197146669	ENSG00000066279	ENST00000367409.9	5primeUTR
chr1	197084127	197084323	ENSG00000066279	ENST00000367409.9	3primeUTR
chr1	156591776	156591804	ENSG00000163382	ENST00000368235.8	5primeUTR
chr1	156594085	156594299	ENSG00000163382	ENST00000368235.8	3primeUTR
chr1	100249821	100249834	ENSG00000137992	ENST00000370132.8	5primeUTR
chr1	100186919	100196254	ENSG00000137992	ENST00000370132.8	3primeUTR
chr1	236795292	236795703	ENSG00000116984	ENST00000366577.10	5primeUTR
chr1	236897645	236903981	ENSG00000116984	ENST00000366577.10	3primeUTR
chr1	156860865	156860934	ENSG00000198400	ENST00000524377.7	5primeUTR
chr1	156881643	156881850	ENSG00000198400	ENST00000524377.7	3primeUTR
chr1	240091883	240092109	ENSG00000155816	ENST00000319653.14	5primeUTR
chr1	240474155	240475187	ENSG00000155816	ENST00000319653.14	3primeUTR
chr1	47314036	47314147	ENSG00000123473	ENST00000371877.8	5primeUTR
chr1	47310320	47310362	ENSG00000123473	ENST00000371877.8	5primeUTR
chr1	47250139	47251135	ENSG00000123473	ENST00000371877.8	3primeUTR
chr1	151008449	151008632	ENSG00000143363	ENST00000271620.8	5primeUTR
chr1	151034235	151035713	ENSG00000143363	ENST00000271620.8	3primeUTR
chr1	241519723	241519755	ENSG00000091483	ENST00000366560.4	5primeUTR
chr1	241497603	241497827	ENSG00000091483	ENST00000366560.4	3primeUTR
chr1	225427954	225428038	ENSG00000143815	ENST00000272163.9	5primeUTR
chr1	225424076	225424089	ENSG00000143815	ENST00000272163.9	5primeUTR
chr1	225401502	225403302	ENSG00000143815	ENST00000272163.9	3primeUTR
chr1	21937218	21937310	ENSG00000142798	ENST00000374695.8	5primeUTR
chr1	21822244	21823315	ENSG00000142798	ENST00000374695.8	3primeUTR
chr1	36088892	36088904	ENSG00000116863	ENST00000373178.5	5primeUTR
chr1	36093387	36093932	ENSG00000116863	ENST00000373178.5	3primeUTR
chr1	170532166	170532223	ENSG00000120370	ENST00000367763.8	5primeUTR
chr1	170552463	170553834	ENSG00000120370	ENST00000367763.8	3primeUTR
chr1	154983344	154983694	ENSG00000160688	ENST00000292180.8	5primeUTR
chr1	154993038	154993111	ENSG00000160688	ENST00000292180.8	3primeUTR
chr1	145918689	145918717	ENSG00000131779	ENST00000369306.8	5primeUTR
chr1	145911350	145912160	ENSG00000131779	ENST00000369306.8	3primeUTR
chr1	214603195	214603321	ENSG00000117724	ENST00000366955.8	5primeUTR
chr1	214613714	214613754	ENSG00000117724	ENST00000366955.8	5primeUTR
chr1	214663795	214664571	ENSG00000117724	ENST00000366955.8	3primeUTR
chr1	23825416	23825429	ENSG00000117305	ENST00000374490.8	5primeUTR
chr1	23801885	23802462	ENSG00000117305	ENST00000374490.8	3primeUTR
chr1	23868287	23868290	ENSG00000179163	ENST00000374479.4	5primeUTR
chr1	23845077	23845714	ENSG00000179163	ENST00000374479.4	3primeUTR
chr1	16043782	16043880	ENSG00000184908	ENST00000375679.9	5primeUTR
chr1	16044486	16044492	ENSG00000184908	ENST00000375679.9	5primeUTR
chr1	16056917	16057308	ENSG00000184908	ENST00000375679.9	3primeUTR
chr1	145927427	145927484	ENSG00000265241	ENST00000583313.7	5primeUTR
chr1	145921556	145925881	ENSG00000265241	ENST00000583313.7	3primeUTR
chr1	220046389	220046505	ENSG00000136628	ENST00000366923.8	5primeUTR
chr1	219968600	219968805	ENSG00000136628	ENST00000366923.8	3primeUTR
chr1	220272338	220272453	ENSG00000118873	ENST00000358951.7	5primeUTR
chr1	220148293	220151250	ENSG00000118873	ENST00000358951.7	3primeUTR
chr1	46198336	46198434	ENSG00000085998	ENST00000371984.8	5primeUTR
chr1	46197822	46197871	ENSG00000085998	ENST00000371984.8	5primeUTR
chr1	46188683	46189269	ENSG00000085998	ENST00000371984.8	3primeUTR
chr1	11805888	11805964	ENSG00000177000	ENST00000376590.9	5primeUTR
chr1	11803117	11803129	ENSG00000177000	ENST00000376590.9	5primeUTR
chr1	11785723	11790679	ENSG00000177000	ENST00000376590.9	3primeUTR
chr1	33036829	33036883	ENSG00000004455	ENST00000672715.1	5primeUTR
chr1	33007986	33013180	ENSG00000004455	ENST00000672715.1	3primeUTR
chr1	160285125	160285133	ENSG00000162735	ENST00000368072.10	5primeUTR
chr1	160276807	160279550	ENSG00000162735	ENST00000368072.10	3primeUTR
chr1	113904718	113904799	ENSG00000134262	ENST00000369569.6	5primeUTR
chr1	113894194	113895064	ENSG00000134262	ENST00000369569.6	3primeUTR
chr1	235866843	235866906	ENSG00000143669	ENST00000389793.7	5primeUTR
chr1	235833578	235833667	ENSG00000143669	ENST00000389793.7	5primeUTR
chr1	235830418	235830424	ENSG00000143669	ENST00000389793.7	5primeUTR
chr1	235661041	235662939	ENSG00000143669	ENST00000389793.7	3primeUTR
chr1	63367627	63367687	ENSG00000088035	ENST00000263440.6	5primeUTR
chr1	63370771	63370977	ENSG00000088035	ENST00000263440.6	5primeUTR
chr1	63437021	63438553	ENSG00000088035	ENST00000263440.6	3primeUTR
chr1	154272629	154272723	ENSG00000143575	ENST00000328703.12	5primeUTR
chr1	154275702	154275875	ENSG00000143575	ENST00000328703.12	3primeUTR
chr1	1232237	1232278	ENSG00000176022	ENST00000379198.5	5primeUTR
chr1	1233269	1235041	ENSG00000176022	ENST00000379198.5	3primeUTR
chr1	75724709	75724787	ENSG00000117054	ENST00000370841.9	5primeUTR
chr1	75762764	75763679	ENSG00000117054	ENST00000370841.9	3primeUTR
chr1	202341895	202341936	ENSG00000077152	ENST00000646651.1	5primeUTR
chr1	202335755	202335818	ENSG00000077152	ENST00000646651.1	5primeUTR
chr1	202331657	202331834	ENSG00000077152	ENST00000646651.1	3primeUTR
chr1	179575865	179575948	ENSG00000116218	ENST00000367615.9	5primeUTR
chr1	179550539	179551172	ENSG00000116218	ENST00000367615.9	3primeUTR
chr2	3595112	3595168	ENSG00000118004	ENST00000349077.9	5primeUTR
chr2	3604315	3604340	ENSG00000118004	ENST00000349077.9	5primeUTR
chr2	3644119	3644644	ENSG00000118004	ENST00000349077.9	3primeUTR
chr2	26244597	26244632	ENSG00000084754	ENST00000380649.8	5primeUTR
chr2	26190635	26191249	ENSG00000084754	ENST00000380649.8	3primeUTR
chr2	63588272	63588477	ENSG00000143951	ENST00000272321.12	5primeUTR
chr2	63119559	63122005	ENSG00000143951	ENST00000272321.12	3primeUTR
chr2	55693824	55693844	ENSG00000138035	ENST00000447944.7	5primeUTR
chr2	55634061	55636236	ENSG00000138035	ENST00000447944.7	3primeUTR
chr2	84459270	84459280	ENSG00000163541	ENST00000393868.7	5primeUTR
chr2	84423528	84423745	ENSG00000163541	ENST00000393868.7	3primeUTR
chr2	72887408	72887432	ENSG00000116096	ENST00000234454.6	5primeUTR
chr2	72891538	72892158	ENSG00000116096	ENST00000234454.6	3primeUTR
chr2	26401920	26401989	ENSG00000157856	ENST00000288710.7	5primeUTR
chr2	26456518	26456711	ENSG00000157856	ENST00000288710.7	3primeUTR
chr2	209771832	209772072	ENSG00000144406	ENST00000673920.1	5primeUTR
chr2	209995596	209999296	ENSG00000144406	ENST00000673920.1	3primeUTR
chr2	130342126	130342164	ENSG00000136710	ENST00000259229.7	5primeUTR
chr2	130337933	130339119	ENSG00000136710	ENST00000259229.7	3primeUTR
chr2	127294082	127294144	ENSG00000163161	ENST00000285398.7	5primeUTR
chr2	127257290	127257595	ENSG00000163161	ENST00000285398.7	3primeUTR
chr2	127106944	127107154	ENSG00000136717	ENST00000316724.10	5primeUTR
chr2	127048032	127048525	ENSG00000136717	ENST00000316724.10	3primeUTR
chr2	233760270	233760287	ENSG00000241635	ENST00000305208.10	5primeUTR
chr2	233772560	233773300	ENSG00000241635	ENST00000305208.10	3primeUTR
chr2	215312059	215312142	ENSG00000138363	ENST00000236959.14	5primeUTR
chr2	215349656	215349764	ENSG00000138363	ENST00000236959.14	3primeUTR
chr2	169031225	169031324	ENSG00000073734	ENST00000650372.1	5primeUTR
chr2	169018126	169018152	ENSG00000073734	ENST00000650372.1	5primeUTR
chr2	168920781	168923621	ENSG00000073734	ENST00000650372.1	3primeUTR
chr2	169362400	169362534	ENSG00000081479	ENST00000649046.1	5primeUTR
chr2	169127109	169128662	ENSG00000081479	ENST00000649046.1	3primeUTR
chr2	231961713	231961765	ENSG00000144535	ENST00000325385.12	5primeUTR
chr2	232014835	232014927	ENSG00000144535	ENST00000325385.12	5primeUTR
chr2	232336631	232337192	ENSG00000144535	ENST00000325385.12	3primeUTR
chr2	232487719	232487834	ENSG00000171551	ENST00000304546.6	5primeUTR
chr2	232486654	232486754	ENSG00000171551	ENST00000304546.6	5primeUTR
chr2	232479827	232480152	ENSG00000171551	ENST00000304546.6	3primeUTR
chr2	232520388	232520598	ENSG00000237412	ENST00000617714.2	5primeUTR
chr2	232525507	232525716	ENSG00000237412	ENST00000617714.2	3primeUTR
chr2	232539692	232539747	ENSG00000196811	ENST00000651502.1	5primeUTR
chr2	232545717	232548115	ENSG00000196811	ENST00000651502.1	3primeUTR
chr2	44361380	44361494	ENSG00000138078	ENST00000409411.6	5primeUTR
chr2	44346343	44346390	ENSG00000138078	ENST00000409411.6	5primeUTR
chr2	44317607	44321355	ENSG00000138078	ENST00000409411.6	3primeUTR
chr2	227717943	227718028	ENSG00000135917	ENST00000644224.2	5primeUTR
chr2	227702319	227702320	ENSG00000135917	ENST00000644224.2	5primeUTR
chr2	227683763	227687396	ENSG00000135917	ENST00000644224.2	3primeUTR
chr2	27489654	27489743	ENSG00000138002	ENST00000260570.8	5primeUTR
chr2	27444377	27444431	ENSG00000138002	ENST00000260570.8	3primeUTR
chr2	148020633	148020737	ENSG00000115947	ENST00000392857.10	5primeUTR
chr2	147975959	147975975	ENSG00000115947	ENST00000392857.10	5primeUTR
chr2	147930396	147935509	ENSG00000115947	ENST00000392857.10	3primeUTR
chr2	110204969	110205013	ENSG00000144061	ENST00000445609.7	5primeUTR
chr2	110123348	110123790	ENSG00000144061	ENST00000445609.7	3primeUTR
chr2	196926617	196926707	ENSG00000197121	ENST00000354764.9	5primeUTR
chr2	196833004	196841233	ENSG00000197121	ENST00000354764.9	3primeUTR
chr2	169479494	169479553	ENSG00000163093	ENST00000295240.8	5primeUTR
chr2	169504583	169506655	ENSG00000163093	ENST00000295240.8	3primeUTR
chr2	219434843	219434977	ENSG00000072195	ENST00000312358.12	5primeUTR
chr2	219492787	219493629	ENSG00000072195	ENST00000312358.12	3primeUTR
chr2	219571233	219571539	ENSG00000124006	ENST00000404537.6	5primeUTR
chr2	219550728	219550834	ENSG00000124006	ENST00000404537.6	3primeUTR
chr2	174764395	174764472	ENSG00000138435	ENST00000348749.9	5primeUTR
chr2	174747592	174748123	ENSG00000138435	ENST00000348749.9	3primeUTR
chr2	74147875	74147912	ENSG00000163170	ENST00000327428.10	5primeUTR
chr2	74135400	74135592	ENSG00000163170	ENST00000327428.10	3primeUTR
chr2	218659683	218659743	ENSG00000074582	ENST00000359273.8	5primeUTR
chr2	218660939	218660987	ENSG00000074582	ENST00000359273.8	5primeUTR
chr2	218663387	218663443	ENSG00000074582	ENST00000359273.8	3primeUTR
chr2	19990016	19990105	ENSG00000118965	ENST00000281405.9	5primeUTR
chr2	19910263	19913557	ENSG00000118965	ENST00000281405.9	3primeUTR
chr2	19990016	19990105	ENSG00000118965	ENST00000345530.8	5primeUTR
chr2	19910263	19913557	ENSG00000118965	ENST00000345530.8	3primeUTR
chr2	69013179	69013499	ENSG00000169604	ENST00000303714.9	5primeUTR
chr2	69245486	69249327	ENSG00000169604	ENST00000303714.9	3primeUTR
chr2	79513051	79513207	ENSG00000066032	ENST00000402739.9	5primeUTR
chr2	79651552	79651556	ENSG00000066032	ENST00000402739.9	5primeUTR
chr2	80647873	80648780	ENSG00000066032	ENST00000402739.9	3primeUTR
chr2	201780877	201780933	ENSG00000003393	ENST00000264276.11	5primeUTR
chr2	201768886	201768945	ENSG00000003393	ENST00000264276.11	5primeUTR
chr2	201700267	201701850	ENSG00000003393	ENST00000264276.11	3primeUTR
chr2	149587664	149587775	ENSG00000168288	ENST00000303319.10	5primeUTR
chr2	149587098	149587149	ENSG00000168288	ENST00000303319.10	5primeUTR
chr2	149569637	149569973	ENSG00000168288	ENST00000303319.10	3primeUTR
chr2	43995948	43995989	ENSG00000138095	ENST00000260665.12	5primeUTR
chr2	43886224	43888599	ENSG00000138095	ENST00000260665.12	3primeUTR
chr2	73828961	73829510	ENSG00000124356	ENST00000394070.7	5primeUTR
chr2	73830845	73830856	ENSG00000124356	ENST00000394070.7	5primeUTR
chr2	73862260	73867168	ENSG00000124356	ENST00000394070.7	3primeUTR
chr2	231198631	231198698	ENSG00000135931	ENST00000611582.5	5primeUTR
chr2	231206198	231206238	ENSG00000135931	ENST00000611582.5	5primeUTR
chr2	231371536	231376848	ENSG00000135931	ENST00000611582.5	3primeUTR
chr2	227164007	227164205	ENSG00000081052	ENST00000396625.5	5primeUTR
chr2	227147484	227147584	ENSG00000081052	ENST00000396625.5	5primeUTR
chr2	227002714	227007324	ENSG00000081052	ENST00000396625.5	3primeUTR
chr2	237413953	237414164	ENSG00000163359	ENST00000295550.9	5primeUTR
chr2	237396818	237396847	ENSG00000163359	ENST00000295550.9	5primeUTR
chr2	237324018	237324773	ENSG00000163359	ENST00000295550.9	3primeUTR
chr2	88627275	88627464	ENSG00000172071	ENST00000303236.9	5primeUTR
chr2	88556741	88557735	ENSG00000172071	ENST00000303236.9	3primeUTR
chr2	219498891	219498938	ENSG00000144591	ENST00000313597.10	5primeUTR
chr2	219499956	219499975	ENSG00000144591	ENST00000313597.10	5primeUTR
chr2	219506799	219506989	ENSG00000144591	ENST00000313597.10	3primeUTR
chr2	73385836	73385868	ENSG00000116127	ENST00000613296.6	5primeUTR
chr2	73609613	73609916	ENSG00000116127	ENST00000613296.6	3primeUTR
chr2	151734398	151734476	ENSG00000183091	ENST00000397345.8	5primeUTR
chr2	151733712	151733795	ENSG00000183091	ENST00000397345.8	5primeUTR
chr2	151733157	151733185	ENSG00000183091	ENST00000397345.8	5primeUTR
chr2	151485339	151485759	ENSG00000183091	ENST00000397345.8	3primeUTR
chr2	151734398	151734476	ENSG00000183091	ENST00000427231.7	5primeUTR
chr2	151733712	151733795	ENSG00000183091	ENST00000427231.7	5primeUTR
chr2	151733157	151733185	ENSG00000183091	ENST00000427231.7	5primeUTR
chr2	151485339	151485759	ENSG00000183091	ENST00000427231.7	3primeUTR
chr2	210556599	210556733	ENSG00000021826	ENST00000233072.10	5primeUTR
chr2	210677986	210679107	ENSG00000021826	ENST00000233072.10	3primeUTR
chr2	1744456	1744515	ENSG00000130508	ENST00000252804.9	5primeUTR
chr2	1631887	1634203	ENSG00000130508	ENST00000252804.9	3primeUTR
chr2	27323052	27323097	ENSG00000115204	ENST00000380044.6	5primeUTR
chr2	27322518	27322522	ENSG00000115204	ENST00000380044.6	5primeUTR
chr2	27309492	27309911	ENSG00000115204	ENST00000380044.6	3primeUTR
chr2	201643401	201643503	ENSG00000155755	ENST00000409883.7	5primeUTR
chr2	201620186	201624254	ENSG00000155755	ENST00000409883.7	3primeUTR
chr2	135052292	135052307	ENSG00000115839	ENST00000264158.13	5primeUTR
chr2	135168782	135170710	ENSG00000115839	ENST00000264158.13	3primeUTR
chr2	29074262	29074523	ENSG00000179270	ENST00000331664.6	5primeUTR
chr2	29061695	29064868	ENSG00000179270	ENST00000331664.6	3primeUTR
chr2	206159341	206159444	ENSG00000023228	ENST00000233190.11	5primeUTR
chr2	206153679	206153682	ENSG00000023228	ENST00000233190.11	5primeUTR
chr2	206114817	206124184	ENSG00000023228	ENST00000233190.11	3primeUTR
chr2	70935900	70935954	ENSG00000116039	ENST00000234396.10	5primeUTR
chr2	70965122	70965431	ENSG00000116039	ENST00000234396.10	3primeUTR
chr2	71130220	71130229	ENSG00000124370	ENST00000244217.6	5primeUTR
chr2	71109687	71109969	ENSG00000124370	ENST00000244217.6	3primeUTR
chr2	58241314	58241325	ENSG00000115392	ENST00000233741.9	5primeUTR
chr2	58159247	58159764	ENSG00000115392	ENST00000233741.9	3primeUTR
chr2	190319751	190319826	ENSG00000198130	ENST00000359678.10	5primeUTR
chr2	190203920	190205116	ENSG00000198130	ENST00000359678.10	3primeUTR
chr2	112764599	112764609	ENSG00000169607	ENST00000302450.11	5primeUTR
chr2	112736349	112738822	ENSG00000169607	ENST00000302450.11	3primeUTR
chr2	85888906	85888990	ENSG00000115525	ENST00000638572.2	5primeUTR
chr2	85837120	85840143	ENSG00000115525	ENST00000638572.2	3primeUTR
chr2	216412484	216412648	ENSG00000138375	ENST00000357276.9	5primeUTR
chr2	216413856	216413892	ENSG00000138375	ENST00000357276.9	5primeUTR
chr2	216414647	216414704	ENSG00000138375	ENST00000357276.9	5primeUTR
chr2	216482978	216483053	ENSG00000138375	ENST00000357276.9	3primeUTR
chr2	46941224	46941541	ENSG00000068724	ENST00000319190.11	5primeUTR
chr2	47073924	47076123	ENSG00000068724	ENST00000319190.11	3primeUTR
chr2	61017720	61017759	ENSG00000162928	ENST00000295030.6	5primeUTR
chr2	61048771	61051990	ENSG00000162928	ENST00000295030.6	3primeUTR
chr2	15561305	15561334	ENSG00000151779	ENST00000281513.10	5primeUTR
chr2	15166916	15167047	ENSG00000151779	ENST00000281513.10	3primeUTR
chr3	4467246	4467269	ENSG00000144455	ENST00000272902.10	5primeUTR
chr3	4361146	4362143	ENSG00000144455	ENST00000272902.10	3primeUTR
chr3	50303466	50303574	ENSG00000114378	ENST00000395144.7	5primeUTR
chr3	50302957	50302980	ENSG00000114378	ENST00000395144.7	5primeUTR
chr3	50299893	50300482	ENSG00000114378	ENST00000395144.7	3primeUTR
chr3	33097086	33097146	ENSG00000170266	ENST00000307363.10	5primeUTR
chr3	32996617	32997044	ENSG00000170266	ENST00000307363.10	3primeUTR
chr3	43690938	43690992	ENSG00000011198	ENST00000644371.2	5primeUTR
chr3	43718533	43722725	ENSG00000011198	ENST00000644371.2	3primeUTR
chr3	69013574	69013684	ENSG00000163378	ENST00000383701.8	5primeUTR
chr3	69012515	69012799	ENSG00000163378	ENST00000383701.8	5primeUTR
chr3	69011936	69011991	ENSG00000163378	ENST00000383701.8	5primeUTR
chr3	69009847	69009860	ENSG00000163378	ENST00000383701.8	5primeUTR
chr3	68975225	68977617	ENSG00000163378	ENST00000383701.8	3primeUTR
chr3	100260992	100261018	ENSG00000036054	ENST00000394144.9	5primeUTR
chr3	100323669	100325238	ENSG00000036054	ENST00000394144.9	3primeUTR
chr3	50345580	50345732	ENSG00000004838	ENST00000231749.8	5primeUTR
chr3	50341112	50341409	ENSG00000004838	ENST00000231749.8	3primeUTR
chr3	171026671	171026720	ENSG00000163581	ENST00000314251.8	5primeUTR
chr3	170996347	170997902	ENSG00000163581	ENST00000314251.8	3primeUTR
chr3	146160990	146161184	ENSG00000152952	ENST00000282903.10	5primeUTR
chr3	146069440	146070716	ENSG00000152952	ENST00000282903.10	3primeUTR
chr3	142578705	142578733	ENSG00000175054	ENST00000350721.9	5primeUTR
chr3	142449235	142449428	ENSG00000175054	ENST00000350721.9	3primeUTR
chr3	155853998	155854427	ENSG00000169359	ENST00000643144.2	5primeUTR
chr3	155821024	155828209	ENSG00000169359	ENST00000643144.2	3primeUTR
chr3	196287615	196287726	ENSG00000161217	ENST00000431016.6	5primeUTR
chr3	196270532	196270541	ENSG00000161217	ENST00000431016.6	5primeUTR
chr3	196234368	196238687	ENSG00000161217	ENST00000431016.6	3primeUTR
chr3	48898795	48898882	ENSG00000178537	ENST00000319017.5	5primeUTR
chr3	48856926	48857709	ENSG00000178537	ENST00000319017.5	3primeUTR
chr3	14178569	14178601	ENSG00000154767	ENST00000285021.12	5primeUTR
chr3	14145147	14145940	ENSG00000154767	ENST00000285021.12	3primeUTR
